CustomerID,Age,Annual_Income,Spending_Score,Purchase_Frequency,Average_Order_Value,Recency_Days,Total_Spend,Cluster,Customer_Segment
C479,47,43645,65,19,2451,60,46569,3,Potential Customers
C480,37,117242,78,30,7546,11,226380,1,Premium Customers
C481,26,60974,65,19,2759,32,52421,3,Potential Customers
C482,21,15035,26,9,659,46,5931,2,Regular Customers
C483,41,64167,45,10,3207,57,32070,3,Potential Customers
C484,31,19331,35,3,968,79,2904,2,Regular Customers
C485,21,18381,30,7,1112,47,7784,2,Regular Customers
C486,28,38724,14,1,1749,132,1749,2,Regular Customers
C487,42,47925,50,3,2383,195,7149,3,Potential Customers
C488,33,31362,16,3,2041,121,6123,2,Regular Customers
C489,42,76280,30,3,1007,160,3021,0,Low Value Customers
C490,25,33133,39,11,1744,66,19184,2,Regular Customers
C491,27,21732,36,11,1543,54,16973,2,Regular Customers
C492,38,27152,25,8,1290,118,10320,2,Regular Customers
C493,40,73923,47,26,1849,28,48074,3,Potential Customers
C494,39,120703,97,51,7493,9,382143,1,Premium Customers
C495,49,65868,69,12,1868,42,22416,3,Potential Customers
C496,18,23591,26,2,623,131,1246,2,Regular Customers
C497,52,57550,50,7,1367,192,9569,3,Potential Customers
C498,35,32617,39,4,1068,40,4272,2,Regular Customers
C499,37,137017,99,38,5772,9,219336,1,Premium Customers
C500,47,146865,90,29,7040,12,204160,1,Premium Customers
